Balloon filename (gpx),station,expected timeframe
SMT\_20220723\_231622.gpx,21,2022-07-23 23:21:03+00:00 till 2022-07-23 23:30:26+00:00
SMT\_20220723\_231622.gpx,22,2022-07-23 23:30:12+00:00 till 2022-07-23 23:35:27+00:00
SMT\_20220723\_231622.gpx,23,2022-07-23 23:33:26+00:00 till 2022-07-23 23:37:57+00:00
SMT\_20220723\_231622.gpx,24,2022-07-23 23:36:33+00:00 till 2022-07-23 23:39:18+00:00
SMT\_20220701\_231934.gpx,22,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT\_20220701\_231934.gpx,23,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT\_20220830\_231921.gpx,12,2022-08-30 23:22:15+00:00 till 2022-08-30 23:22:31+00:00
SMT\_20220706\_231615.gpx,22,2022-07-07 00:34:24+00:00 till 2022-07-07 00:35:15+00:00
SMT\_20220706\_231615.gpx,23,2022-07-07 00:33:30+00:00 till 2022-07-07 00:35:15+00:00
SMT\_20220706\_231615.gpx,24,2022-07-07 00:33:50+00:00 till 2022-07-07 00:35:15+00:00
SMT\_20220728\_112143.gpx,12,2022-07-28 11:36:04+00:00 till 2022-07-28 11:38:16+00:00
SMT\_20220728\_112143.gpx,11,2022-07-28 11:32:06+00:00 till 2022-07-28 11:36:28+00:00
SMT\_20220728\_112143.gpx,13,2022-07-28 11:37:48+00:00 till 2022-07-28 11:39:49+00:00
SMT\_20220716\_111633.gpx,21,2022-07-16 12:05:05+00:00 till 2022-07-16 12:20:22+00:00
SMT\_20220716\_111633.gpx,12,2022-07-16 12:10:53+00:00 till 2022-07-16 12:24:07+00:00
SMT\_20220716\_111633.gpx,11,2022-07-16 12:08:23+00:00 till 2022-07-16 12:25:43+00:00
SMT\_20220716\_111633.gpx,22,2022-07-16 12:09:06+00:00 till 2022-07-16 12:18:35+00:00
SMT\_20220715\_231621.gpx,21,2022-07-16 00:08:58+00:00 till 2022-07-16 00:12:03+00:00
SMT\_20220726\_111605.gpx,21,2022-07-26 11:18:19+00:00 till 2022-07-26 11:19:03+00:00
SMT\_20220726\_111605.gpx,12,2022-07-26 12:20:14+00:00 till 2022-07-26 12:21:53+00:00
SMT\_20220726\_111605.gpx,13,2022-07-26 12:06:52+00:00 till 2022-07-26 12:30:56+00:00
SMT\_20220726\_111605.gpx,22,2022-07-26 11:21:46+00:00 till 2022-07-26 11:24:39+00:00
SMT\_20220726\_111605.gpx,23,2022-07-26 11:26:09+00:00 till 2022-07-26 12:22:24+00:00
SMT\_20220726\_111605.gpx,24,2022-07-26 11:31:17+00:00 till 2022-07-26 12:25:10+00:00
SMT\_20220726\_231510.gpx,11,2022-07-26 23:31:39+00:00 till 2022-07-26 23:43:04+00:00
SMT\_20220724\_111936.gpx,11,2022-07-24 11:24:45+00:00 till 2022-07-24 11:27:03+00:00
SMT\_20220724\_111936.gpx,13,2022-07-24 12:23:16+00:00 till 2022-07-24 12:33:48+00:00
SMT\_20220724\_111936.gpx,24,2022-07-24 12:12:44+00:00 till 2022-07-24 12:29:27+00:00
SMT\_20220820\_231751.gpx,13,2022-08-20 23:41:03+00:00 till 2022-08-20 23:45:01+00:00
SMT\_20220820\_231751.gpx,22,2022-08-20 23:39:20+00:00 till 2022-08-20 23:41:29+00:00
SMT\_20220820\_231751.gpx,23,2022-08-20 23:39:47+00:00 till 2022-08-20 23:42:41+00:00
SMT\_20220703\_231627.gpx,21,2022-07-03 23:58:58+00:00 till 2022-07-04 00:51:57+00:00
SMT\_20220703\_231627.gpx,12,2022-07-04 00:19:47+00:00 till 2022-07-04 00:52:09+00:00
SMT\_20220703\_231627.gpx,11,2022-07-04 00:19:37+00:00 till 2022-07-04 00:52:09+00:00
SMT\_20220703\_231627.gpx,13,2022-07-04 00:22:04+00:00 till 2022-07-04 00:52:07+00:00
SMT\_20220703\_231627.gpx,22,2022-07-04 00:14:09+00:00 till 2022-07-04 00:50:28+00:00
SMT\_20220703\_231627.gpx,23,2022-07-04 00:17:51+00:00 till 2022-07-04 00:48:29+00:00
SMT\_20220703\_231627.gpx,24,2022-07-04 00:23:40+00:00 till 2022-07-04 00:42:26+00:00
SMT\_20220816\_111548.gpx,11,2022-08-16 11:19:06+00:00 till 2022-08-16 11:20:08+00:00
SMT\_20220704\_231605.gpx,21,2022-07-04 23:21:14+00:00 till 2022-07-04 23:29:47+00:00
SMT\_20220704\_231605.gpx,22,2022-07-05 00:45:35+00:00 till 2022-07-05 00:46:21+00:00
SMT\_20220704\_231605.gpx,23,2022-07-05 00:44:35+00:00 till 2022-07-05 00:46:21+00:00
SMT\_20220704\_231605.gpx,24,2022-07-05 00:44:08+00:00 till 2022-07-05 00:46:21+00:00
SMT\_20220921\_231851.gpx,12,2022-09-22 10:46:18+00:00 till 2022-09-22 10:46:20+00:00
SMT\_20220921\_231851.gpx,13,2022-09-22 10:46:21+00:00 till 2022-09-22 10:46:22+00:00
SMT\_20220630\_231835.gpx,21,2022-07-01 00:11:25+00:00 till 2022-07-01 00:39:49+00:00
SMT\_20220630\_231835.gpx,12,2022-07-01 00:19:34+00:00 till 2022-07-01 00:45:51+00:00
SMT\_20220630\_231835.gpx,11,2022-07-01 00:17:35+00:00 till 2022-07-01 00:45:17+00:00
